frequency,word
1,的
2,我
3,你
4,是
5,了
6,不
7,在
8,他
9,我们
10,好
11,有
12,这
13,就
14,会
15,吗
16,要
17,什么
18,说
19,她
20,想
21,一
22,很
23,知道
24,人
25,吧
26,那
27,来
28,都
29,个
30,能
31,去
32,没
33,和
34,他们
35,到
36,对
37,也
38,啊
39,还
40,把
41,让
42,做
43,给
44,一个
45,上
46,你们
47,过
48,没有
49,得
50,看
51,真
52,着
53,事
54,这个
55,怎么
56,现在
57,可以
58,点
59,呢
60,如果
61,只
62,别
63,哦
64,但
65,被
66,走
67,太
68,这样
69,里
70,跟
71,告诉
72,因为
73,自己
74,再
75,听
76,这里
77,快
78,谁
79,但是
80,多
81,用
82,时候
83,下
84,已经
85,谢谢
86,为什么
87,觉得
88,天
89,像
90,这么
91,它
92,从
93,先生
94,找
95,最
96,喜欢
97,可
98,为
99,大
100,可能
101,需要
102,是的
103,死
104,次
105,出
106,那么
107,干
108,那个
109,嘿
110,们
111,话
112,而
113,么
114,东西
115,应该
116,孩子
117,起来
118,所以
119,这些
120,才
121,两
122,错
123,还有
124,又
125,小
126,中
127,叫
128,嗯
129,该
130,等
131,问题
132,一起
133,拿
134,更
135,开始
136,帮
137,打
138,爱
139,带
140,时间
141,年
142,请
143,回
144,工作
145,然后
146,当
147,见
148,钱
149,噢
150,一样
151,事情
152,就是
153,吃
154,所有
155,开
156,一下
157,家
158,非常
159,看到
160,希望
161,那些
162,哪
163,当然
164,也许
165,行
166,朋友
167,妈妈
168,相信
169,前
170,嗨
171,认为
172,将
173,这儿
174,今天
175,明白
176,一直
177,看看
178,车
179,时
180,杀
181,地方
182,不过
183,呃
184,发生
185,几
186,回来
187,准备
188,找到
189,后
190,爸爸
191,一切
192,抱歉
193,比
194,感觉
195,些
196,只是
197,怎么样
198,出来
199,不要
200,对不起
201,问
202,离开
203,一点
204,一定
205,起
206,还是
207,发现
208,所
209,住
210,件
211,正
212,而且
213,并
214,必须
215,意思
216,放
217,不错
218,肯定
219,电话
220,为了
221,搞
222,棒
223,第一
224,妈
225,地
226,进
227,那样
228,大家
229,新
230,您
231,向
232,一些
233,三
234,那里
235,以为
236,高兴
237,嘛
238,老
239,位
240,过来
241,掉
242,先
243,等等
244,生活
245,之
246,买
247,种
248,医生
249,最后
250,之前
251,伙计
252,手
253,任何
254,很多
255,哪儿
256,这种
257,上帝
258,女人
259,名字
260,认识
261,坐
262,今晚
263,其他
264,喝
265,记得
266,家伙
267,与
268,或者
269,写
270,穿
271,弄
272,过去
273,哪里
274,啦
275,却
276,算
277,担心
278,继续
279,送
280,女孩
281,以
282,玩
283,亲爱
284,下来
285,成
286,条
287,够
288,父亲
289,以前
290,跑
291,月
292,早
293,美国
294,长
295,完全
296,宝贝
297,号
298,枪
299,狗
300,可是
301,世界
302,小时
303,重要
304,谈
305,别人
306,男人
307,头
308,机会
309,岁
310,出去
311,活
312,看见
313,者
314,打电话
315,喂
316,好像
317,得到
318,警察
319,完
320,张
321,儿子
322,之后
323,漂亮
324,分钟
325,接
326,场
327,再见
328,求
329,刚
330,如何
331,比赛
332,呀
333,情况
334,变
335,关系
336,真是
337,女士
338,本
339,马上
340,决定
341,见到
342,根本
343,关于
344,那儿
345,难
346,只要
347,里面
348,每
349,份
350,到底
351,了解
352,明天
353,站
354,结束
355,公司
356,成为
357,永远
358,帮助
359,来说
360,多少
361,哇
362,名
363,它们
364,总
365,确定
366,有人
367,清楚
368,晚上
369,安全
370,怎样
371,没什么
372,块
373,回家
374,留
375,周
376,愿意
377,计划
378,爸
379,俩
380,停
381,不能
382,他妈的
383,说话
384,另
385,心
386,花
387,她们
388,有些
389,门
390,感谢
391,谈谈
392,定
393,于
394,以后
395,管
396,照片
397,每个
398,欢迎
399,敢
400,兄弟
401,从来
402,总是
403,嘴
404,跳
405,拜托
406,女儿
407,抓
408,小姐
409,动
410,赢
411,消息
412,女
413,忙
414,或许
415,如此
416,队
417,无法
418,房子
419,拉
420,衣服
421,听说
422,救
423,参加
424,办法
425,睡
426,唯一
427,回去
428,人们
429,晚
430,该死
431,闭
432,选择
433,坏
434,原因
435,下去
436,受
437,连
438,好好
439,全
440,确实
441,挺
442,此
443,水
444,混蛋
445,杯
446,保证
447,学校
448,卖
449,信
450,接受
451,改变
452,舞
453,看来
454,高
455,麻烦
456,出现
457,打算
458,电影
459,试
460,身上
461,房间
462,美
463,不管
464,书
465,特别
466,注意
467,球
468,查
469,忘
470,甚至
471,保护
472,真正
473,结果
474,表现
475,拍
476,其实
477,小心
478,进来
479,路
480,呆
481,四
482,久
483,当时
484,或
485,懂
486,只有
487,怎么办
488,第
489,马
490,讲
491,绝对
492,长官
493,员
494,进去
495,至少
496,律师
497,喔
498,整个
499,听到
500,表演
501,正在
502,无
503,已
504,笑
505,选
506,感到
507,那边
508,远
509,儿
510,故事
511,疯
512,换
513,结婚
514,猜
515,咱们
516,床
517,处理
518,妻子
519,进行
520,内
521,是否
522,段
523,令
524,刚刚
525,案子
526,行动
527,第二
528,努力
529,害怕
530,酒
531,发
532,调查
533,失去
534,歌
535,成功
536,唱
537,考虑
538,刚才
539,约会
540,节目
541,通过
542,之间
543,别的
544,学
545,开心
546,母亲
547,辆
548,主意
549,探
550,丈夫
551,待
552,变成
553,倒
554,离
555,解释
556,往
557,万
558,联系
559,派
560,关
561,证明
562,句
563,五
564,生命
565,有点
566,靠
567,解决
568,办公室
569,难道
570,作为
571,奇怪
572,生
573,由
574,男
575,极了
576,同意
577,如
578,游戏
579,帮忙
580,指
581,危险
582,讨厌
583,曾经
584,眼睛
585,外面
586,处
587,国家
588,看上去
589,总统
590,间
591,伤害
592,控制
593,最近
594,声音
595,糟
596,快乐
597,偷
598,首
599,可爱
600,进入
601,能够
602,事实上
603,哈
604,醒
605,分
606,完成
607,部
608,昨晚
609,同
610,医院
611,不行
612,半
613,而已
614,上面
615,样子
616,少
617,有趣
618,提
619,没关系
620,斯
621,杰克
622,真的
623,部分
624,要求
625,糟糕
626,除了
627,容易
628,保持
629,虽然
630,办
631,教
632,想到
633,理解
634,证据
635,加
636,脸
637,简单
638,不同
639,夫人
640,父母
641,重
642,恩
643,曾
644,事实
645,飞机
646,家庭
647,象
648,装
649,秘密
650,法
651,尸体
652,打开
653,季
654,检查
655,早上
656,玩笑
657,任务
658,现场
659,使
660,转
661,博士
662,直到
663,紧张
664,二
665,简直
666,放弃
667,小子
668,电视
669,强
670,不好意思
671,大概
672,的确
673,特
674,药
675,回到
676,男孩
677,音乐
678,身体
679,血
680,留下
681,方式
682,伤
683,怪
684,美元
685,监狱
686,读
687,这边
688,重新
689,瞧
690,疯狂
691,收到
692,其中
693,片
694,想法
695,纽约
696,家里
697,黑
698,身
699,还要
700,作
701,后面
702,性
703,带来
704,昨天
705,不好
706,抓住
707,记录
708,点儿
709,老兄
710,来自
711,越
712,大学
713,照顾
714,太太
715,聪明
716,本来
717,加油
718,实际上
719,甜
720,怕
721,多久
722,并且
723,直接
724,对于
725,记
726,突然
727,啥
728,开枪
729,声
730,除非
731,集
732,店
733,酷
734,正常
735,死亡
736,终于
737,拥有
738,警
739,船
740,付
741,派对
742,遍
743,步
744,不再
745,鬼
746,咖啡
747,傻
748,阻止
749,想象
750,冷静
751,方法
752,犯
753,扔
754,祝
755,能力
756,完美
757,克
758,口
759,目标
760,耶
761,日
762,有关
763,精神
764,另外
765,放松
766,丢
767,休息
768,每天
769,回答
770,凶手
771,负责
772,命
773,外
774,碰
775,介意
776,梦
777,试试
778,那天
779,系统
780,睡觉
781,滚
782,谋杀
783,礼物
784,那种
785,戴
786,各位
787,错误
788,子
789,随便
790,头发
791,藏
792,关心
793,底
794,干吗
795,兴趣
796,情
797,报告
798,从没
799,替
800,面
801,经历
802,六
803,飞
804,老师
805,气
806,不用
807,小孩
808,人类
809,冲
810,自由
811,支持
812,星期
813,脚
814,很快
815,毁
816,生气
817,建议
818,做到
