theme;unk_words;line;line_percent
;;Bonjour à toutes et à tous, où que vous soyez sur la planète, merci d'écouter Radio France Internationale, 17 h à Paris, 16 h temps universel.;1.0
;;Journal.;1.0
;;Adrien Delgrange.;1.0
;;Avec Mayeul De Charon.;1.0
;;Bonjour Mayeul.;1.0
;;Bonjour Adrien et bonjour à tous.;1.0
;;Nous sommes le mercredi 23 novembre, à la une de cette édition.;1.0
;"""robinet"",";Il n'y a plus d'eau au robinet, plus d'électricité dans une grande partie de l'Ukraine.;0.9473684210526315
;;C'est la conséquence des derniers bombardements russes sur la capitale ukrainienne notamment.;1.0
;"""maire"", ""abris"",";Le maire de Kiev appelle la population à rester dans des abris, à se protéger des bombes.;0.8947368421052632
;;Nous appelons dans un instant notre correspondant.;1.0
;"""député"",";En France, un député est accusé par sa femme d'être très violent.;0.9285714285714286
;;Explications à suivre.;1.0
;;Et puis nous parlerons de sport de la Coupe du monde de football.;1.0
;;L'Allemagne se fait surprendre par le Japon.;1.0
;;Les Allemands battus par les Japonais.;1.0
;"""buts"",";Deux buts à un.;0.8
;;Un match de foot marqué par une image.;1.0
;;Une image très forte.;1.0
;;Les Allemands ont posé une main sur leur bouche avant le début du match.;1.0
;;On vous explique pourquoi à la fin du journal.;1.0
;"""blessés"",";La guerre en Ukraine et de nouveaux bombardements russes, bombardements qui ont fait au moins trois morts et six blessés à Kiev.;0.9583333333333334
;"""visé"",";L'armée russe a visé aujourd'hui avec ses bombes des infrastructures énergétiques.;0.9166666666666666
;;Stéphane Siohan, Bonjour!;1.0
;;Bonjour!;1.0
;"""déconnectées"",";Correspondant régional de Radio France Internationale, Stéphane, trois centrales nucléaires ukrainiennes ont été déconnectées, conséquence?;0.9473684210526315
;;Plus d'électricité dans une grande partie du pays.;1.0
;"""retentit"",";Et oui, et tout ça a commencé à Kiev en début d'après-midi où au moins quatre explosions ont retentit dans la capitale ukrainienne.;0.96
;;À peine 1 h après la reconnaissance par le Parlement européen de la Fédération de Russie comme État terroriste.;1.0
;"""croisière"", ""déclenchant"",";Des missiles de croisière ont de nouveau été tirés vers la capitale, déclenchant les sirènes antiaérienne.;0.8888888888888888
;"""usines"", ""situées"", ""quartiers"", ""banlieue"",";"Et selon nos premières informations, au moins deux centrales électriques ont été frappées des usines de production d'électricité situées à

Darnitsa et Vinobitsi des quartiers à la

densité de population assez forte en banlieue de Kiev.";0.8947368421052632
;"""immeuble"", ""d'habitation"", ""bilan"", ""provisoire"", ""blessés"",";Des projectiles ont également atteint un immeuble d'habitation et selon un bilan provisoire, trois civils ont été tués et six blessés.;0.782608695652174
;"""quartiers"", ""maire"", ""interrompue"",";Très vite, plusieurs quartiers ont été coupés d'électricité et le maire de la ville, Vitali Klitschko, a indiqué que la distribution d'eau était interrompue, appelant la population à faire des réserves.;0.9166666666666666
