ortho,lemme
de,de
la,la
et,et
à,à
le,le
il,il
es,être
est,être
furent,être
fus,être
fusse,être
fussent,être
fusses,être
fussiez,être
fussions,être
fut,être
fûmes,être
fût,être
fûtes,être
sera,être
serai,être
seraient,être
serais,être
serait,être
seras,être
serez,être
seriez,être
serions,être
serons,être
seront,être
soient,être
sois,être
soit,être
sommes,être
sont,être
soyez,être
soyons,être
suis,être
étaient,être
étais,être
était,être
étant,être
étiez,être
étions,être
été,être
êtes,être
être,être
les,les
n,ne
n',ne
ne,ne
un,un
a,avoir
ai,avoir
aie,avoir
aient,avoir
aies,avoir
ait,avoir
as,avoir
aura,avoir
aurai,avoir
auraient,avoir
aurais,avoir
aurait,avoir
auras,avoir
aurez,avoir
auriez,avoir
aurions,avoir
aurons,avoir
auront,avoir
avaient,avoir
avais,avoir
avait,avoir
avez,avoir
aviez,avoir
avions,avoir
avoir,avoir
avons,avoir
ayant,avoir
ayez,avoir
ayons,avoir
eu,avoir
eue,avoir
eues,avoir
eurent,avoir
eus,avoir
eusse,avoir
eussent,avoir
eusses,avoir
eussiez,avoir
eussions,avoir
eussé,avoir
eut,avoir
eûmes,avoir
eût,avoir
n',avoir
ont,avoir
s,avoir
l',l'
d',d'
je,je
des,des
une,une
pas,pas
en,en
dans,dans
qui,qui
qui,qui
elle,elle
du,du
se,se
es,être
est,être
furent,être
fus,être
fusse,être
fussent,être
fusses,être
fussiez,être
fussions,être
fut,être
fûmes,être
fût,être
fûtes,être
sera,être
serai,être
seraient,être
serais,être
serait,être
seras,être
serez,être
seriez,être
serions,être
serons,être
seront,être
soient,être
sois,être
soit,être
sommes,être
sont,être
soyez,être
soyons,être
suis,être
étaient,être
étais,être
était,être
étant,être
étiez,être
étions,être
été,être
êtes,être
être,être
a,avoir
ai,avoir
aie,avoir
aient,avoir
aies,avoir
ait,avoir
as,avoir
aura,avoir
aurai,avoir
auraient,avoir
aurais,avoir
aurait,avoir
auras,avoir
aurez,avoir
auriez,avoir
aurions,avoir
aurons,avoir
auront,avoir
avaient,avoir
avais,avoir
avait,avoir
avez,avoir
aviez,avoir
avions,avoir
avoir,avoir
avons,avoir
ayant,avoir
ayez,avoir
ayons,avoir
eu,avoir
eue,avoir
eues,avoir
eurent,avoir
eus,avoir
eusse,avoir
eussent,avoir
eusses,avoir
eussiez,avoir
eussions,avoir
eussé,avoir
eut,avoir
eûmes,avoir
eût,avoir
eûtes,avoir
ont,avoir
pour,pour
s',s'
faire,faire
fais,faire
faisaient,faire
faisais,faire
faisait,faire
faisant,faire
faisiez,faire
faisions,faire
faisons,faire
fait,faire
faite,faire
faites,faire
faits,faire
fasse,faire
fassent,faire
fasses,faire
fassiez,faire
fassions,faire
fera,faire
ferai,faire
feraient,faire
ferais,faire
ferait,faire
feras,faire
ferez,faire
feriez,faire
ferions,faire
ferons,faire
feront,faire
firent,faire
fis,faire
fisse,faire
fissent,faire
fissiez,faire
fissions,faire
fit,faire
font,faire
fîmes,faire
fît,faire
fîtes,faire
au,au
sur,sur
plus,plus
on,on
dira,dire
dirai,dire
diraient,dire
dirais,dire
dirait,dire
diras,dire
dire,dire
dirent,dire
direz,dire
diriez,dire
dirions,dire
dirons,dire
diront,dire
dis,dire
disaient,dire
disais,dire
disait,dire
disant,dire
dise,dire
disent,dire
dises,dire
disiez,dire
disions,dire
disons,dire
dissent,dire
dit,dire
dite,dire
dites,dire
dits,dire
dîmes,dire
dît,dire
dîtes,dire
son,son
mais,mais
me,me
lui,lui
avec,avec
nous,nous
sa,sa
par,par
vous,vous
comme,comme
que,que
que,que
tous,tout
tout,tout
tout,tout
toute,tout
toutes,tout
ses,ses
y,y
ce,ce
aille,aller
aillent,aller
ailles,aller
alla,aller
allai,aller
allaient,aller
allais,aller
allait,aller
allant,aller
allas,aller
allassent,aller
aller,aller
allez,aller
allier,aller
alliez,aller
allions,aller
allons,aller
allâmes,aller
allât,aller
allèrent,aller
allé,aller
allée,aller
allées,aller
allés,aller
ira,aller
irai,aller
iraient,aller
irais,aller
irait,aller
iras,aller
irez,aller
iriez,aller
irions,aller
irons,aller
iront,aller
va,aller
vais,aller
vas,aller
vont,aller
ils,ils
peut,pouvoir
peuvent,pouvoir
peux,pouvoir
pincer,pouvoir
pourra,pouvoir
pourrai,pouvoir
pourraient,pouvoir
pourrais,pouvoir
pourrait,pouvoir
pourras,pouvoir
pourrez,pouvoir
pourriez,pouvoir
pourrions,pouvoir
pourrons,pouvoir
pourront,pouvoir
pouvaient,pouvoir
pouvais,pouvoir
pouvait,pouvoir
pouvant,pouvoir
pouvez,pouvoir
pouviez,pouvoir
pouvions,pouvoir
pouvoir,pouvoir
pouvons,pouvoir
pu,pouvoir
puis,pouvoir
puisse,pouvoir
puissent,pouvoir
puisses,pouvoir
puissiez,pouvoir
puissions,pouvoir
purent,pouvoir
pus,pouvoir
pusse,pouvoir
pussent,pouvoir
pusses,pouvoir
pussiez,pouvoir
put,pouvoir
pûmes,pouvoir
pût,pouvoir
pûtes,pouvoir
l',l'
tu,tu
bien,bien
ça,ça
en,en
ce,ce
ou,ou
le,le
verra,voir
verrai,voir
verraient,voir
verrais,voir
verrait,voir
verras,voir
verrez,voir
verriez,voir
verrions,voir
verrons,voir
verront,voir
vis,voir
vissent,voir
vit,voir
voie,voir
voient,voir
voies,voir
voir,voir
vois,voir
voit,voir
voyaient,voir
voyais,voir
voyait,voir
voyant,voir
voyez,voir
voyiez,voir
voyions,voir
voyons,voir
vu,voir
vue,voir
vues,voir
vus,voir
vîmes,voir
vît,voir
cette,cette
mon,mon
sans,sans
où,où
où,où
sachant,savoir
sache,savoir
sachent,savoir
saches,savoir
sachez,savoir
sachiez,savoir
sachions,savoir
sachons,savoir
sais,savoir
sait,savoir
saura,savoir
saurai,savoir
sauraient,savoir
saurais,savoir
saurait,savoir
sauras,savoir
saurez,savoir
sauriez,savoir
saurions,savoir
saurons,savoir
sauront,savoir
savaient,savoir
savais,savoir
savait,savoir
savent,savoir
savez,savoir
saviez,savoir
savions,savoir
savoir,savoir
savons,savoir
su,savoir
sue,savoir
sues,savoir
surent,savoir
sus,savoir
susse,savoir
sussent,savoir
sut,savoir
sûmes,savoir
sût,savoir
aux,aux
moi,moi
ma,ma
veuille,vouloir
veuillent,vouloir
veuilles,vouloir
veuillez,vouloir
veulent,vouloir
veut,vouloir
veux,vouloir
voudra,vouloir
voudrai,vouloir
voudraient,vouloir
voudrais,vouloir
voudrait,vouloir
voudras,vouloir
voudrez,vouloir
voudriez,vouloir
