frequency,word
1,ที่
2,ได้
3,จะ
4,นี้
5,ว่า
6,เป็น
7,มี
8,ให้
9,ต้อง
10,ของ
11,กับ
12,ไม่
13,และ
14,ใน
15,กัน
16,ขึ้น
17,ด้วย
18,จาก
19,การ
20,ไป
21,มา
22,ถึง
23,กว่า
24,ทั้ง
25,เมื่อ
26,คน
27,แต่
28,อยู่
29,ก็
30,เรื่อง
31,อย่าง
32,ความ
33,นั้น
34,มาก
35,แล้ว
36,ถูก
37,ไว้
38,หรือ
39,เพราะ
40,เวลา
41,ยัง
42,ทำ
43,เห็น
44,เข้า
45,ชั้น
46,ซึ่ง
47,ลง
48,ถ้า
49,ตัว
50,ใช้
51,ตาม
52,บาง
53,อีก
54,ทำให้
55,ทาง
56,แบบ
57,ออก
58,ที่สุด
59,เรา
60,โดย
61,ดี
62,เพื่อ
63,จึง
64,ต่อ
65,ครั้ง
66,เขา
67,หลาย
68,ผู้
69,ทุก
70,น้อย
71,คือ
72,หาก
73,เกิด
74,ปี
75,งาน
76,ใหม่
77,ตั้ง
78,ส่วน
79,รับ
80,แรก
81,พระ
82,ทำงาน
83,วัน
84,ช่วย
85,เพียง
86,อาจ
87,ขนาด
88,อื่น
89,นัก
90,เริ่ม
91,เด็ก
92,ชีวิต
93,สูง
94,ก่อน
95,เปลี่ยน
96,ต่าง
97,ต่อไป
98,ดู
99,แห่ง
100,ใหญ่
101,หา
102,สำหรับ
103,ผม
104,กลาง
105,ก็ได้
106,ด้าน
107,คุณ
108,นอก
109,เดียว
110,เมือง
111,สิ่ง
112,ทรง
113,ตัด
114,นำ
115,ผิด
116,เสีย
117,เอา
118,จน
119,คิด
120,เลย
121,เท่านั้น
122,นับ
123,ผ่าน
124,ตอน
125,ตั้งแต่
126,เรียก
127,สามารถ
128,ชื่อ
129,เอง
130,ประเทศ
131,ภาพ
132,นอกจาก
133,อ่าน
134,เคย
135,อะไร
136,กลับ
137,ขอ
138,โลก
139,เดิม
140,ได้รับ
141,น้ำ
142,อย่างไร
143,ยิ่ง
144,ฝ่าย
145,บ้าน
146,คำ
147,พบ
148,เข้าใจ
149,อัน
150,ส่ง
151,ที่อยู่
152,มัน
153,ถือ
154,แม้
155,ควร
156,กำลัง
157,ปัญหา
